Year,Quarter,Keyword,New Score,Percentile,Sentiment
2016,Q1,Brakes Group,0.49344179034233093,38.39511373209773,neutral
2016,Q1,Canada foundational part,0.49330225586891174,38.31086773378264,neutral
2016,Q1,aggregate basis minor impact,0.9932847023010254,81.9502948609941,positive
2016,Q1,confusion D,0.9953627586364746,94.43976411120471,positive
2016,Q1,dramatic swing,0.42000627517700195,28.43302443133951,neutral
2016,Q1,good start,0.12313836812973022,15.080033698399326,negative
2016,Q1,mid-single digits,0.028333020210266114,10.025273799494524,negative
2016,Q1,single digits,0.01287864555012096,9.056444818871103,negative
2016,Q2,Divestitures FX impacted net,-0.9868844747543335,2.042965459140691,negative
2016,Q2,Nicolaus growe,0.9947751760482788,90.45914069081718,positive
2016,Q2,P.F residual impact,0.9819955825805664,66.95450716090986,positive
2016,Q2,aggressive actions,0.2463330179452896,19.755686604886268,negative
2016,Q2,big step,0.49782392382621765,48.98904802021904,neutral
2016,Q2,chip profitable growth,-0.9380805492401123,4.317607413647852,negative
2016,Q2,commit capital upfront,0.9959077835083008,97.85172704296546,positive
2016,Q2,core stay focused,0.683514416217804,52.08508845829824,neutral
2016,Q2,frozen meal,0.33101818958918255,24.64195450716091,negative
2016,Q2,g s,0.016058836252458634,9.330244313395115,negative
2016,Q2,ireport message on cnn,0.9950876832008362,92.60741364785173,positive
2016,Q2,move with urgency,0.9932172894477844,81.67649536647009,positive
2016,Q2,open positions,0.33081740140914917,24.5787700084246,negative
2016,Q2,price/mix quarter-on-quarter,0.9817479252815247,66.80707666385847,positive
2016,Q2,reddi-wip egg,0.7847593426704407,53.77000842459984,positive
2016,Q2,reddi-wip issue on nitrous oxide,0.9833546280860901,67.71272114574558,positive
2016,Q2,remain committed,0.09025315804914995,13.63732097725358,negative
2016,Q2,remain committed investment-grade credit rating,0.4963923692703247,43.102358887952825,neutral
2016,Q2,significant activities,0.9953997731208801,94.69250210614996,positive
2016,Q2,success bad habits,0.9820196032524109,66.97556866048863,positive
2017,Q1,Brakes U.S,0.9953806400299072,94.50294860994103,positive
2017,Q1,Chili head VP,0.9944720268249512,88.45829823083403,positive
2017,Q1,Costa Rica,0.4874882996082306,35.15164279696714,neutral
2017,Q1,Easter made,-0.9095441102981567,4.717775905644482,negative
